"stock_name","isin","industry","quantity","market_value_in_lacs","scheme_code","scheme_name"
"Trent Ltd.","INE849A01020","Retailing",109808.0,6827.31,133711,"LIC MF Large & Mid Cap Fund-Regular Plan-Growth"
"REC Ltd.","INE020B01018","Finance",1608375.0,6472.1,133711,"LIC MF Large & Mid Cap Fund-Regular Plan-Growth"
"Bharat Electronics Ltd.","INE263A01024","Aerospace & Defense",1535155.0,6470.68,133711,"LIC MF Large & Mid Cap Fund-Regular Plan-Growth"
"Reliance Industries Ltd.","INE002A01018","Petroleum Products",424022.0,6362.87,133711,"LIC MF Large & Mid Cap Fund-Regular Plan-Growth"
"Shriram Finance Ltd.","INE721A01047","Finance",817587.0,5779.11,133711,"LIC MF Large & Mid Cap Fund-Regular Plan-Growth"
"Abbott India Ltd.","INE358A01014","Pharmaceuticals & Biotechnology",15806.0,5638.0,133711,"LIC MF Large & Mid Cap Fund-Regular Plan-Growth"
"Apollo Hospitals Enterprise Ltd.","INE437A01024","Healthcare Services",75781.0,5488.06,133711,"LIC MF Large & Mid Cap Fund-Regular Plan-Growth"
"The Indian Hotels Company Ltd.","INE053A01029","Leisure Services",692264.0,5263.28,133711,"LIC MF Large & Mid Cap Fund-Regular Plan-Growth"
"Cummins India Ltd.","INE298A01020","Industrial Products",150766.0,5125.14,133711,"LIC MF Large & Mid Cap Fund-Regular Plan-Growth"
"Coromandel International Ltd.","INE169A01031","Fertilizers & Agrochemicals",201931.0,5058.78,133711,"LIC MF Large & Mid Cap Fund-Regular Plan-Growth"
"Power Finance Corporation Ltd.","INE134E01011","Finance",1174714.0,5020.73,133711,"LIC MF Large & Mid Cap Fund-Regular Plan-Growth"
"Axis Bank Ltd.","INE238A01034","Banks",396224.0,4751.52,133711,"LIC MF Large & Mid Cap Fund-Regular Plan-Growth"
"Alkem Laboratories Ltd.","INE540L01014","Pharmaceuticals & Biotechnology",94569.0,4670.76,133711,"LIC MF Large & Mid Cap Fund-Regular Plan-Growth"
"Grasim Industries Ltd.","INE047A01021","Cement & Cement Products",161182.0,4584.82,133711,"LIC MF Large & Mid Cap Fund-Regular Plan-Growth"
"Prestige Estates Projects Ltd.","INE811K01011","Realty",274330.0,4546.75,133711,"LIC MF Large & Mid Cap Fund-Regular Plan-Growth"
"Mahindra & Mahindra Financial Serv Ltd.","INE774D01024","Finance",1647517.0,4447.47,133711,"LIC MF Large & Mid Cap Fund-Regular Plan-Growth"
"Bharat Bijlee Ltd.","INE464A01036","Electrical Equipment",138858.0,4309.74,133711,"LIC MF Large & Mid Cap Fund-Regular Plan-Growth"
"State Bank of India","INE062A01020","Banks",512722.0,4206.11,133711,"LIC MF Large & Mid Cap Fund-Regular Plan-Growth"
"Bharti Hexacom Ltd.","INE343G01021","Telecom - Services",215079.0,4199.85,133711,"LIC MF Large & Mid Cap Fund-Regular Plan-Growth"
"Procter & Gamble Hygiene&HealthCare Ltd.","INE179A01014","Personal Products",29727.0,3973.31,133711,"LIC MF Large & Mid Cap Fund-Regular Plan-Growth"
"Honeywell Automation India Ltd.","INE671A01010","Industrial Manufacturing",10091.0,3971.31,133711,"LIC MF Large & Mid Cap Fund-Regular Plan-Growth"
"Bharat Forge Ltd.","INE465A01025","Auto Components",301826.0,3948.19,133711,"LIC MF Large & Mid Cap Fund-Regular Plan-Growth"
"Hero MotoCorp Ltd.","INE158A01026","Automobiles",91843.0,3891.48,133711,"LIC MF Large & Mid Cap Fund-Regular Plan-Growth"
"Gujarat Gas Ltd.","INE844O01030","Gas",782123.0,3713.52,133711,"LIC MF Large & Mid Cap Fund-Regular Plan-Growth"
"Maruti Suzuki India Ltd.","INE585B01010","Automobiles",29046.0,3601.7,133711,"LIC MF Large & Mid Cap Fund-Regular Plan-Growth"
"Syngene International Ltd.","INE398R01022","Healthcare Services",553104.0,3533.78,133711,"LIC MF Large & Mid Cap Fund-Regular Plan-Growth"
"Schneider Electric Infrastructure Ltd.","INE839M01018","Electrical Equipment",420897.0,3503.55,133711,"LIC MF Large & Mid Cap Fund-Regular Plan-Growth"
"Container Corporation Of India Ltd.","INE111A01025","Transport Services",459004.0,3487.51,133711,"LIC MF Large & Mid Cap Fund-Regular Plan-Growth"
"EID Parry India Ltd.","INE126A01031","Food Products",313731.0,3482.41,133711,"LIC MF Large & Mid Cap Fund-Regular Plan-Growth"
"Max Financial Services Ltd.","INE180A01020","Insurance",210705.0,3470.52,133711,"LIC MF Large & Mid Cap Fund-Regular Plan-Growth"
"JSW Infrastructure Ltd.","INE880J01026","Transport Infrastructure",1108376.0,3470.33,133711,"LIC MF Large & Mid Cap Fund-Regular Plan-Growth"
"Tata Power Company Ltd.","INE245A01021","Power",850456.0,3448.17,133711,"LIC MF Large & Mid Cap Fund-Regular Plan-Growth"
"LTIMindtree Ltd.","INE214T01019","IT - Software",63330.0,3367.26,133711,"LIC MF Large & Mid Cap Fund-Regular Plan-Growth"
"Hindustan Unilever Ltd.","INE030A01027","Diversified FMCG",144465.0,3314.89,133711,"LIC MF Large & Mid Cap Fund-Regular Plan-Growth"
"Voltas Ltd.","INE226A01021","Consumer Durables",251945.0,3310.81,133711,"LIC MF Large & Mid Cap Fund-Regular Plan-Growth"
"Page Industries Ltd.","INE761H01022","Textiles & Apparels",6651.0,3286.26,133711,"LIC MF Large & Mid Cap Fund-Regular Plan-Growth"
"Transport Corporation Of India Ltd.","INE688A01022","Transport Services",287215.0,3246.1,133711,"LIC MF Large & Mid Cap Fund-Regular Plan-Growth"
"Infosys Ltd.","INE009A01021","IT - Software",202213.0,3239.05,133711,"LIC MF Large & Mid Cap Fund-Regular Plan-Growth"
"Schaeffler India Ltd.","INE513A01022","Auto Components",79405.0,3213.76,133711,"LIC MF Large & Mid Cap Fund-Regular Plan-Growth"
"TD Power Systems Ltd.","INE419M01027","Electrical Equipment",636707.0,3180.35,133711,"LIC MF Large & Mid Cap Fund-Regular Plan-Growth"
"Tata Consumer Products Ltd.","INE192A01025","Agricultural Food & other Products",285155.0,3133.57,133711,"LIC MF Large & Mid Cap Fund-Regular Plan-Growth"
"Manorama Industries Ltd.","INE00VM01036","Food Products",213529.0,3118.8,133711,"LIC MF Large & Mid Cap Fund-Regular Plan-Growth"
"Arvind Fashions Ltd.","INE955V01021","Retailing",629545.0,3055.5,133711,"LIC MF Large & Mid Cap Fund-Regular Plan-Growth"
"APL Apollo Tubes Ltd.","INE702C01027","Industrial Products",172768.0,3004.61,133711,"LIC MF Large & Mid Cap Fund-Regular Plan-Growth"
"KEI Industries Ltd.","INE878B01027","Industrial Products",78719.0,2985.5,133711,"LIC MF Large & Mid Cap Fund-Regular Plan-Growth"
"SRF Ltd.","INE647A01010","Chemicals & Petrochemicals",90445.0,2932.32,133711,"LIC MF Large & Mid Cap Fund-Regular Plan-Growth"
"UNO Minda Ltd.","INE405E01023","Auto Components",264334.0,2919.04,133711,"LIC MF Large & Mid Cap Fund-Regular Plan-Growth"
"Tata Communications Ltd.","INE151A01013","Telecom - Services",170769.0,2887.02,133711,"LIC MF Large & Mid Cap Fund-Regular Plan-Growth"
"Multi Commodity Exchange Of India Ltd.","INE745G01035","Capital Markets",30649.0,2741.25,133711,"LIC MF Large & Mid Cap Fund-Regular Plan-Growth"
"3M India Ltd.","INE470A01017","Diversified",9207.0,2624.0,133711,"LIC MF Large & Mid Cap Fund-Regular Plan-Growth"
"Isgec Heavy Engineering Ltd.","INE858B01029","Construction",210922.0,2611.64,133711,"LIC MF Large & Mid Cap Fund-Regular Plan-Growth"
"Jubilant Foodworks Ltd.","INE797F01020","Leisure Services",365542.0,2565.37,133711,"LIC MF Large & Mid Cap Fund-Regular Plan-Growth"
"Kennametal India Ltd.","INE717A01029","Industrial Manufacturing",100967.0,2362.53,133711,"LIC MF Large & Mid Cap Fund-Regular Plan-Growth"
"GE Vernova T&D India Limited","INE200A01026","Electrical Equipment",95832.0,2262.69,133711,"LIC MF Large & Mid Cap Fund-Regular Plan-Growth"
"Cipla Ltd.","INE059A01026","Pharmaceuticals & Biotechnology",144935.0,2182.58,133711,"LIC MF Large & Mid Cap Fund-Regular Plan-Growth"
"Persistent Systems Ltd.","INE262H01021","IT - Software",31721.0,1916.42,133711,"LIC MF Large & Mid Cap Fund-Regular Plan-Growth"
"BSE Ltd.","INE118H01025","Capital Markets",67537.0,1870.84,133711,"LIC MF Large & Mid Cap Fund-Regular Plan-Growth"
"Afcons Infrastructure Ltd.","INE101I01011","Construction",426938.0,1867.64,133711,"LIC MF Large & Mid Cap Fund-Regular Plan-Growth"
"ICICI Lombard General Insurance Co. Ltd.","INE765G01017","Insurance",89724.0,1830.55,133711,"LIC MF Large & Mid Cap Fund-Regular Plan-Growth"
"Dee Development Engineers Ltd.","INE841L01016","Industrial Manufacturing",501444.0,1607.13,133711,"LIC MF Large & Mid Cap Fund-Regular Plan-Growth"
"ITC Ltd.","INE154A01025","Diversified FMCG",372859.0,1552.77,133711,"LIC MF Large & Mid Cap Fund-Regular Plan-Growth"
"Bharat Heavy Electricals Ltd.","INE257A01026","Electrical Equipment",579611.0,1543.5,133711,"LIC MF Large & Mid Cap Fund-Regular Plan-Growth"
"Mahindra & Mahindra Ltd.","INE101A01026","Automobiles",48194.0,1534.11,133711,"LIC MF Large & Mid Cap Fund-Regular Plan-Growth"
"Larsen & Toubro Ltd.","INE018A01030","Construction",41573.0,1525.65,133711,"LIC MF Large & Mid Cap Fund-Regular Plan-Growth"
"Linde India Ltd.","INE473A01011","Chemicals & Petrochemicals",21654.0,1441.18,133711,"LIC MF Large & Mid Cap Fund-Regular Plan-Growth"
"L&T Technology Services Ltd.","INE010V01017","IT - Services",28266.0,1244.3,133711,"LIC MF Large & Mid Cap Fund-Regular Plan-Growth"
"Torrent Pharmaceuticals Ltd.","INE685A01028","Pharmaceuticals & Biotechnology",35598.0,1213.25,133711,"LIC MF Large & Mid Cap Fund-Regular Plan-Growth"
"Tata Technologies Ltd.","INE142M01025","IT - Services",167741.0,1192.64,133711,"LIC MF Large & Mid Cap Fund-Regular Plan-Growth"
"K.P.R. Mill Ltd.","INE930H01031","Textiles & Apparels",104374.0,1190.91,133711,"LIC MF Large & Mid Cap Fund-Regular Plan-Growth"
"Blue Star Ltd.","INE472A01039","Consumer Durables",64934.0,1062.06,133711,"LIC MF Large & Mid Cap Fund-Regular Plan-Growth"
"Concord Enviro Systems Ltd.","INE037Z01029","Other Utilities",183120.0,1052.85,133711,"LIC MF Large & Mid Cap Fund-Regular Plan-Growth"
"JNK India Ltd.","INE0OAF01028","Industrial Manufacturing",300284.0,1047.24,133711,"LIC MF Large & Mid Cap Fund-Regular Plan-Growth"
"Avalon Technologies Ltd.","INE0LCL01028","Electrical Equipment",113385.0,956.29,133711,"LIC MF Large & Mid Cap Fund-Regular Plan-Growth"
"Housing & Urban Development Corp Ltd.","INE031A01017","Finance",254378.0,604.3,133711,"LIC MF Large & Mid Cap Fund-Regular Plan-Growth"
"Divgi Torqtransfer Systems Ltd.","INE753U01022","Auto Components",63557.0,383.69,133711,"LIC MF Large & Mid Cap Fund-Regular Plan-Growth"
"Carraro India Ltd.","INE0V7W01012","Auto Components",68000.0,309.67,133711,"LIC MF Large & Mid Cap Fund-Regular Plan-Growth"
"HDFC Bank Limited","INE040A01034","Banks",162500.0,3252.44,110603,"BANK OF INDIA Large & Mid Cap Fund Regular Plan- Growth"
"Reliance Industries Limited","INE002A01018","Petroleum Products",115827.0,1738.1,110603,"BANK OF INDIA Large & Mid Cap Fund Regular Plan- Growth"
"Lloyds Metals And Energy Limited","INE281B01032","Minerals & Mining",101870.0,1618.61,110603,"BANK OF INDIA Large & Mid Cap Fund Regular Plan- Growth"
"ICICI Lombard General Insurance Company Limited","INE765G01017","Insurance",73575.0,1501.08,110603,"BANK OF INDIA Large & Mid Cap Fund Regular Plan- Growth"
"Larsen & Toubro Limited","INE018A01030","Construction",37209.0,1365.5,110603,"BANK OF INDIA Large & Mid Cap Fund Regular Plan- Growth"
"Kotak Mahindra Bank Limited","INE237A01028","Banks",62341.0,1348.75,110603,"BANK OF INDIA Large & Mid Cap Fund Regular Plan- Growth"
"Coforge Limited","INE591G01025","IT - Software",69065.0,1329.16,110603,"BANK OF INDIA Large & Mid Cap Fund Regular Plan- Growth"
"PB Fintech Limited","INE417T01026","Financial Technology (Fintech)",72303.0,1318.73,110603,"BANK OF INDIA Large & Mid Cap Fund Regular Plan- Growth"
"Indian Bank","INE562A01011","Banks",194053.0,1248.63,110603,"BANK OF INDIA Large & Mid Cap Fund Regular Plan- Growth"
"Manorama Industries Limited","INE00VM01036","Food Products",80003.0,1168.52,110603,"BANK OF INDIA Large & Mid Cap Fund Regular Plan- Growth"
"Eris Lifesciences Limited","INE406M01024","Pharmaceuticals & Biotechnology",67895.0,1143.22,110603,"BANK OF INDIA Large & Mid Cap Fund Regular Plan- Growth"
"Vedanta Limited","INE205A01025","Diversified Metals",245403.0,1130.94,110603,"BANK OF INDIA Large & Mid Cap Fund Regular Plan- Growth"
"FSN E-Commerce Ventures Limited","INE388Y01029","Retailing",526644.0,1097.47,110603,"BANK OF INDIA Large & Mid Cap Fund Regular Plan- Growth"
"Hero MotoCorp Limited","INE158A01026","Automobiles",25643.0,1086.52,110603,"BANK OF INDIA Large & Mid Cap Fund Regular Plan- Growth"
"State Bank of India","INE062A01020","Banks",131223.0,1076.49,110603,"BANK OF INDIA Large & Mid Cap Fund Regular Plan- Growth"
"NTPC Limited","INE733E01010","Power",296202.0,991.98,110603,"BANK OF INDIA Large & Mid Cap Fund Regular Plan- Growth"
"Tips Music Limited","INE716B01029","Entertainment",144165.0,970.16,110603,"BANK OF INDIA Large & Mid Cap Fund Regular Plan- Growth"
"Apollo Hospitals Enterprise Limited","INE437A01024","Healthcare Services",13162.0,953.19,110603,"BANK OF INDIA Large & Mid Cap Fund Regular Plan- Growth"
"Oil India Limited","INE274J01014","Oil",214231.0,930.3,110603,"BANK OF INDIA Large & Mid Cap Fund Regular Plan- Growth"
"Jindal Stainless Limited","INE220G01021","Ferrous Metals",127541.0,899.29,110603,"BANK OF INDIA Large & Mid Cap Fund Regular Plan- Growth"
"SBI Cards and Payment Services Limited","INE018E01016","Finance",92673.0,883.27,110603,"BANK OF INDIA Large & Mid Cap Fund Regular Plan- Growth"
"Tata Consultancy Services Limited","INE467B01029","IT - Software",25062.0,867.65,110603,"BANK OF INDIA Large & Mid Cap Fund Regular Plan- Growth"
"Oberoi Realty Limited","INE093I01010","Realty",44599.0,849.88,110603,"BANK OF INDIA Large & Mid Cap Fund Regular Plan- Growth"
"Shriram Finance Limited","INE721A01047","Finance",108972.0,770.27,110603,"BANK OF INDIA Large & Mid Cap Fund Regular Plan- Growth"
"Bayer Cropscience Limited","INE462A01022","Fertilizers & Agrochemicals",12083.0,760.56,110603,"BANK OF INDIA Large & Mid Cap Fund Regular Plan- Growth"
"Samvardhana Motherson International Limited","INE775A01035","Auto Components",434639.0,672.95,110603,"BANK OF INDIA Large & Mid Cap Fund Regular Plan- Growth"
"Dr. Reddy's Laboratories Limited","INE089A01031","Pharmaceuticals & Biotechnology",49559.0,635.99,110603,"BANK OF INDIA Large & Mid Cap Fund Regular Plan- Growth"
"Supreme Industries Limited","INE195A01028","Industrial Products",13539.0,594.55,110603,"BANK OF INDIA Large & Mid Cap Fund Regular Plan- Growth"
"Senco Gold Limited","INE602W01027","Consumer Durables",155830.0,534.89,110603,"BANK OF INDIA Large & Mid Cap Fund Regular Plan- Growth"
"ICICI Bank Limited","INE090A01021","Banks",31492.0,455.31,110603,"BANK OF INDIA Large & Mid Cap Fund Regular Plan- Growth"
"Adani Ports and Special Economic Zone Limited","INE742F01042","Transport Infrastructure",31393.0,455.26,110603,"BANK OF INDIA Large & Mid Cap Fund Regular Plan- Growth"
"Ashok Leyland Limited","INE208A01029","Agricultural, Commercial & Construction Vehicles",180859.0,453.79,110603,"BANK OF INDIA Large & Mid Cap Fund Regular Plan- Growth"
"Sky Gold And Diamonds Limited","INE01IU01018","Consumer Durables",141873.0,445.62,110603,"BANK OF INDIA Large & Mid Cap Fund Regular Plan- Growth"
"SBI Life Insurance Company Limited","INE123W01016","Insurance",24185.0,444.59,110603,"BANK OF INDIA Large & Mid Cap Fund Regular Plan- Growth"
"Zaggle Prepaid Ocean Services Limited","INE07K301024","IT - Services",106270.0,438.79,110603,"BANK OF INDIA Large & Mid Cap Fund Regular Plan- Growth"
"Swan Energy Limited","INE665A01038","Chemicals & Petrochemicals",95544.0,426.65,110603,"BANK OF INDIA Large & Mid Cap Fund Regular Plan- Growth"
"Bharti Airtel Limited","INE397D01024","Telecom - Services",21207.0,426.18,110603,"BANK OF INDIA Large & Mid Cap Fund Regular Plan- Growth"
"Tech Mahindra Limited","INE669C01036","IT - Software",24084.0,406.3,110603,"BANK OF INDIA Large & Mid Cap Fund Regular Plan- Growth"
"Endurance Technologies Limited","INE913H01037","Auto Components",13630.0,377.56,110603,"BANK OF INDIA Large & Mid Cap Fund Regular Plan- Growth"
"Housing & Urban Development Corporation Limited","INE031A01017","Finance",157365.0,373.84,110603,"BANK OF INDIA Large & Mid Cap Fund Regular Plan- Growth"
"Acutaas Chemicals Limited","INE00FF01025","Pharmaceuticals & Biotechnology",29806.0,341.1,110603,"BANK OF INDIA Large & Mid Cap Fund Regular Plan- Growth"
"Infosys Limited","INE009A01021","IT - Software",19243.0,308.23,110603,"BANK OF INDIA Large & Mid Cap Fund Regular Plan- Growth"
"UNO Minda Limited","INE405E01023","Auto Components",27439.0,303.01,110603,"BANK OF INDIA Large & Mid Cap Fund Regular Plan- Growth"
"Indus Towers Limited","INE121J01017","Telecom - Services",71729.0,302.05,110603,"BANK OF INDIA Large & Mid Cap Fund Regular Plan- Growth"
"Sterling And Wilson Renewable Energy Limited","INE00M201021","Construction",92634.0,296.34,110603,"BANK OF INDIA Large & Mid Cap Fund Regular Plan- Growth"
"Bharat Dynamics Limited","INE171Z01026","Aerospace & Defense",14540.0,282.54,110603,"BANK OF INDIA Large & Mid Cap Fund Regular Plan- Growth"
"Aurobindo Pharma Limited","INE406A01037","Pharmaceuticals & Biotechnology",23690.0,268.83,110603,"BANK OF INDIA Large & Mid Cap Fund Regular Plan- Growth"
"Aditya Vision Ltd","INE679V01027","Retailing",59898.0,223.12,110603,"BANK OF INDIA Large & Mid Cap Fund Regular Plan- Growth"
"Siemens Limited","INE003A01024","Electrical Equipment",6076.0,197.56,110603,"BANK OF INDIA Large & Mid Cap Fund Regular Plan- Growth"
"Siemens Energy India Limited","INE1NPP01017","Electrical Equipment",6076.0,180.82,110603,"BANK OF INDIA Large & Mid Cap Fund Regular Plan- Growth"
"Coforge Limited","INE591G01025","IT - Software",16735.0,322.07,141952,"BANK OF INDIA Mid Cap Tax Fund Series 1 Regular Plan Growth"
"UNO Minda Limited","INE405E01023","Auto Components",28100.0,310.31,141952,"BANK OF INDIA Mid Cap Tax Fund Series 1 Regular Plan Growth"
"Indian Bank","INE562A01011","Banks",39684.0,255.35,141952,"BANK OF INDIA Mid Cap Tax Fund Series 1 Regular Plan Growth"
"Hitachi Energy India Limited","INE07Y701011","Electrical Equipment",1162.0,232.48,141952,"BANK OF INDIA Mid Cap Tax Fund Series 1 Regular Plan Growth"
"Lloyds Metals And Energy Limited","INE281B01032","Minerals & Mining",13870.0,220.38,141952,"BANK OF INDIA Mid Cap Tax Fund Series 1 Regular Plan Growth"
"Quality Power Electrical Eqp Ltd","INE0SII01026","Electrical Equipment",32007.0,219.09,141952,"BANK OF INDIA Mid Cap Tax Fund Series 1 Regular Plan Growth"
"PB Fintech Limited","INE417T01026","Financial Technology (Fintech)",11475.0,209.29,141952,"BANK OF INDIA Mid Cap Tax Fund Series 1 Regular Plan Growth"
"Endurance Technologies Limited","INE913H01037","Auto Components",7540.0,208.87,141952,"BANK OF INDIA Mid Cap Tax Fund Series 1 Regular Plan Growth"
"Dixon Technologies (India) Limited","INE935N01020","Consumer Durables",1345.0,201.52,141952,"BANK OF INDIA Mid Cap Tax Fund Series 1 Regular Plan Growth"
"HDFC Bank Limited","INE040A01034","Banks",10000.0,200.15,141952,"BANK OF INDIA Mid Cap Tax Fund Series 1 Regular Plan Growth"
"Abbott India Limited","INE358A01014","Pharmaceuticals & Biotechnology",534.0,190.48,141952,"BANK OF INDIA Mid Cap Tax Fund Series 1 Regular Plan Growth"
"Manorama Industries Limited","INE00VM01036","Food Products",12916.0,188.65,141952,"BANK OF INDIA Mid Cap Tax Fund Series 1 Regular Plan Growth"
"Trent Limited","INE849A01020","Retailing",2911.0,180.99,141952,"BANK OF INDIA Mid Cap Tax Fund Series 1 Regular Plan Growth"
"Navin Fluorine International Limited","INE048G01026","Chemicals & Petrochemicals",3748.0,180.66,141952,"BANK OF INDIA Mid Cap Tax Fund Series 1 Regular Plan Growth"
"IPCA Laboratories Limited","INE571A01038","Pharmaceuticals & Biotechnology",11050.0,153.57,141952,"BANK OF INDIA Mid Cap Tax Fund Series 1 Regular Plan Growth"
"Oberoi Realty Limited","INE093I01010","Realty",7910.0,150.73,141952,"BANK OF INDIA Mid Cap Tax Fund Series 1 Regular Plan Growth"
"CG Power and Industrial Solutions Limited","INE067A01029","Electrical Equipment",21800.0,148.71,141952,"BANK OF INDIA Mid Cap Tax Fund Series 1 Regular Plan Growth"
"SBI Cards and Payment Services Limited","INE018E01016","Finance",15500.0,147.73,141952,"BANK OF INDIA Mid Cap Tax Fund Series 1 Regular Plan Growth"
"AU Small Finance Bank Limited","INE949L01017","Banks",17900.0,146.33,141952,"BANK OF INDIA Mid Cap Tax Fund Series 1 Regular Plan Growth"
"Max Healthcare Institute Limited","INE027H01010","Healthcare Services",11312.0,144.34,141952,"BANK OF INDIA Mid Cap Tax Fund Series 1 Regular Plan Growth"
"ICICI Lombard General Insurance Company Limited","INE765G01017","Insurance",6980.0,142.41,141952,"BANK OF INDIA Mid Cap Tax Fund Series 1 Regular Plan Growth"
"Housing & Urban Development Corporation Limited","INE031A01017","Finance",57096.0,135.64,141952,"BANK OF INDIA Mid Cap Tax Fund Series 1 Regular Plan Growth"
"Deepak Nitrite Limited","INE288B01029","Chemicals & Petrochemicals",6559.0,130.33,141952,"BANK OF INDIA Mid Cap Tax Fund Series 1 Regular Plan Growth"
"Hero MotoCorp Limited","INE158A01026","Automobiles",2980.0,126.27,141952,"BANK OF INDIA Mid Cap Tax Fund Series 1 Regular Plan Growth"
"BSE Limited","INE118H01025","Capital Markets",4330.0,119.95,141952,"BANK OF INDIA Mid Cap Tax Fund Series 1 Regular Plan Growth"
"PNB Housing Finance Limited","INE572E01012","Finance",10600.0,117.6,141952,"BANK OF INDIA Mid Cap Tax Fund Series 1 Regular Plan Growth"
"Reliance Industries Limited","INE002A01018","Petroleum Products",7800.0,117.05,141952,"BANK OF INDIA Mid Cap Tax Fund Series 1 Regular Plan Growth"
"Zaggle Prepaid Ocean Services Limited","INE07K301024","IT - Services",27305.0,112.74,141952,"BANK OF INDIA Mid Cap Tax Fund Series 1 Regular Plan Growth"
"Siemens Energy India Limited","INE1NPP01017","Electrical Equipment",3780.0,112.49,141952,"BANK OF INDIA Mid Cap Tax Fund Series 1 Regular Plan Growth"
"Lupin Limited","INE326A01037","Pharmaceuticals & Biotechnology",5703.0,110.52,141952,"BANK OF INDIA Mid Cap Tax Fund Series 1 Regular Plan Growth"
"Jindal Stainless Limited","INE220G01021","Ferrous Metals",14250.0,100.48,141952,"BANK OF INDIA Mid Cap Tax Fund Series 1 Regular Plan Growth"
"The Federal Bank Limited","INE171A01029","Banks",43200.0,92.07,141952,"BANK OF INDIA Mid Cap Tax Fund Series 1 Regular Plan Growth"
"Shakti Pumps (India) Limited","INE908D01010","Industrial Products",9600.0,90.69,141952,"BANK OF INDIA Mid Cap Tax Fund Series 1 Regular Plan Growth"
"Schaeffler India Limited","INE513A01022","Auto Components",2030.0,82.16,141952,"BANK OF INDIA Mid Cap Tax Fund Series 1 Regular Plan Growth"
"Eris Lifesciences Limited","INE406M01024","Pharmaceuticals & Biotechnology",4700.0,79.14,141952,"BANK OF INDIA Mid Cap Tax Fund Series 1 Regular Plan Growth"
"Bharat Dynamics Limited","INE171Z01026","Aerospace & Defense",3970.0,77.15,141952,"BANK OF INDIA Mid Cap Tax Fund Series 1 Regular Plan Growth"
"Bharat Heavy Electricals Limited","INE257A01026","Electrical Equipment",28000.0,74.56,141952,"BANK OF INDIA Mid Cap Tax Fund Series 1 Regular Plan Growth"
"Steel Authority of India Limited","INE114A01011","Ferrous Metals",52000.0,68.63,141952,"BANK OF INDIA Mid Cap Tax Fund Series 1 Regular Plan Growth"
"Apollo Hospitals Enterprise Limited","INE437A01024","Healthcare Services",920.0,66.63,141952,"BANK OF INDIA Mid Cap Tax Fund Series 1 Regular Plan Growth"
"Linde India Limited","INE473A01011","Chemicals & Petrochemicals",965.0,64.23,141952,"BANK OF INDIA Mid Cap Tax Fund Series 1 Regular Plan Growth"
"Vedanta Limited","INE205A01025","Diversified Metals",13000.0,59.91,141952,"BANK OF INDIA Mid Cap Tax Fund Series 1 Regular Plan Growth"
"Astral Limited","INE006I01046","Industrial Products",3940.0,59.37,141952,"BANK OF INDIA Mid Cap Tax Fund Series 1 Regular Plan Growth"
"Titagarh Rail Systems Limited","INE615H01020","Industrial Manufacturing",6000.0,56.57,141952,"BANK OF INDIA Mid Cap Tax Fund Series 1 Regular Plan Growth"
"Blue Star Limited","INE472A01039","Consumer Durables",3360.0,54.96,141952,"BANK OF INDIA Mid Cap Tax Fund Series 1 Regular Plan Growth"
"Sky Gold And Diamonds Limited","INE01IU01018","Consumer Durables",16506.0,51.85,141952,"BANK OF INDIA Mid Cap Tax Fund Series 1 Regular Plan Growth"
"ICICI Bank Limited","INE090A01021","Banks",2961.0,42.81,141952,"BANK OF INDIA Mid Cap Tax Fund Series 1 Regular Plan Growth"
"Carraro India Limited","INE0V7W01012","Auto Components",9366.0,42.65,141952,"BANK OF INDIA Mid Cap Tax Fund Series 1 Regular Plan Growth"
"KPIT Technologies Limited","INE04I401011","IT - Software",2760.0,34.74,141952,"BANK OF INDIA Mid Cap Tax Fund Series 1 Regular Plan Growth"
"Apollo Tyres Limited","INE438A01022","Auto Components",6500.0,29.17,141952,"BANK OF INDIA Mid Cap Tax Fund Series 1 Regular Plan Growth"
"Lloyds Metals And Energy Limited","INE281B01032","Minerals & Mining",425000.0,6752.83,145677,"BANK OF INDIA Small Cap Fund Regular Plan Growth"
"Quality Power Electrical Eqp Ltd","INE0SII01026","Electrical Equipment",800000.0,5476.0,145677,"BANK OF INDIA Small Cap Fund Regular Plan Growth"
"CreditAccess Grameen Limited","INE741K01010","Finance",393000.0,4754.12,145677,"BANK OF INDIA Small Cap Fund Regular Plan Growth"
"Housing & Urban Development Corporation Limited","INE031A01017","Finance",2000000.0,4751.2,145677,"BANK OF INDIA Small Cap Fund Regular Plan Growth"
"Kaynes Technology India Limited","INE918Z01012","Industrial Manufacturing",75000.0,4571.25,145677,"BANK OF INDIA Small Cap Fund Regular Plan Growth"
"Eris Lifesciences Limited","INE406M01024","Pharmaceuticals & Biotechnology",270100.0,4547.94,145677,"BANK OF INDIA Small Cap Fund Regular Plan Growth"
"Acutaas Chemicals Limited","INE00FF01025","Pharmaceuticals & Biotechnology",375142.0,4293.13,145677,"BANK OF INDIA Small Cap Fund Regular Plan Growth"
"Sky Gold And Diamonds Limited","INE01IU01018","Consumer Durables",1340080.0,4209.19,145677,"BANK OF INDIA Small Cap Fund Regular Plan Growth"
"PNB Housing Finance Limited","INE572E01012","Finance",371000.0,4115.87,145677,"BANK OF INDIA Small Cap Fund Regular Plan Growth"
"NTPC Green Energy Limited","INE0ONG01011","Power",3711496.0,3885.57,145677,"BANK OF INDIA Small Cap Fund Regular Plan Growth"
