Name of the Instrument,ISIN,Industry / Rating,Quantity,Market/Fair Value (Rs. in Lacs),% to Net Assets,Scheme Code,Scheme Name
ICICI Bank Limited,INE090A01021,Banks,"66,200",957.12,4.58%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
Reliance Industries Limited,INE002A01018,Petroleum Products,"55,000",825.33,3.95%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
Coforge Limited,INE591G01025,IT - Software,"39,445",759.12,3.63%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
Shriram Finance Limited,INE721A01047,Finance,"1,04,000",735.12,3.52%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
NTPC Green Energy Limited,INE0ONG01011,Power,"6,36,000",665.83,3.18%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
Vedanta Limited,INE205A01025,Diversified Metals,"1,35,000",622.15,2.98%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
NTPC Limited,INE733E01010,Power,"1,84,000",616.22,2.95%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
Hindustan Aeronautics Limited,INE066F01020,Aerospace & Defense,"12,000",584.38,2.79%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
Dr. Reddy's Laboratories Limited,INE089A01031,Pharmaceuticals & Biotechnology,"45,000",577.49,2.76%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
Tata Steel Limited,INE081A01020,Ferrous Metals,"3,25,000",519.22,2.48%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
Tech Mahindra Limited,INE669C01036,IT - Software,"28,000",472.36,2.26%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
Hyundai Motor India Ltd,INE0V6F01027,Automobiles,"20,509",455.24,2.18%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
Bharat Electronics Limited,INE263A01024,Aerospace & Defense,"1,00,000",421.5,2.02%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
Power Grid Corporation of India Limited,INE752E01010,Power,"1,38,000",413.86,1.98%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
SBI Cards and Payment Services Limited,INE018E01016,Finance,"42,000",400.3,1.91%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
CreditAccess Grameen Limited,INE741K01010,Finance,"33,000",399.2,1.91%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
Adani Ports and Special Economic Zone Limited,INE742F01042,Transport Infrastructure,"27,500",398.81,1.91%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
Ambuja Cements Limited,INE079A01024,Cement & Cement Products,"68,500",395.55,1.89%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
Tata Power Company Limited,INE245A01021,Power,"90,000",364.91,1.75%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
Titan Company Limited,INE280A01028,Consumer Durables,"9,600",354.26,1.69%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
Infosys Limited,INE009A01021,IT - Software,"22,000",352.4,1.69%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
JSW Steel Limited,INE019A01038,Ferrous Metals,"34,000",346.97,1.66%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
TD Power Systems Limited,INE419M01027,Electrical Equipment,"66,000",329.67,1.58%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
Eternal Limited,INE758T01015,Retailing,"1,18,000",311.7,1.49%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
InterGlobe Aviation Limited,INE646L01027,Transport Services,"5,100",304.8,1.46%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
Tata Consultancy Services Limited,INE467B01029,IT - Software,"8,800",304.66,1.46%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
Larsen & Toubro Limited,INE018A01030,Construction,"7,850",288.08,1.38%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
Torrent Pharmaceuticals Limited,INE685A01028,Pharmaceuticals & Biotechnology,"7,963",271.39,1.30%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
Quality Power Electrical Eqp Ltd,INE0SII01026,Electrical Equipment,"39,000",266.96,1.28%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
Bharti Airtel Limited,INE397D01024,Telecom - Services,"12,500",251.2,1.20%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
SBI Life Insurance Company Limited,INE123W01016,Insurance,"13,100",240.82,1.15%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
Polycab India Limited,INE455K01017,Industrial Products,"3,650",239.11,1.14%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
Sky Gold And Diamonds Limited,INE01IU01018,Consumer Durables,"75,000",235.58,1.13%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
ITC Limited,INE154A01025,Diversified FMCG,"55,000",229.05,1.10%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
REC Limited,INE020B01018,Finance,"53,500",215.28,1.03%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
Kaynes Technology India Limited,INE918Z01012,Industrial Manufacturing,"3,400",207.23,0.99%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
Bank of Baroda,INE028A01039,Banks,"75,000",186.59,0.89%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
Sun Pharmaceutical Industries Limited,INE044A01036,Pharmaceuticals & Biotechnology,"10,700",179.3,0.86%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
Siemens Energy India Limited,INE1NPP01017,Electrical Equipment,"6,000",178.55,0.85%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
Hero MotoCorp Limited,INE158A01026,Automobiles,"4,000",169.48,0.81%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
Siemens Limited,INE003A01024,Electrical Equipment,"5,100",165.83,0.79%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
Avenue Supermarts Limited,INE192R01011,Retailing,"3,500",153.03,0.73%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
Titagarh Rail Systems Limited,INE615H01020,Industrial Manufacturing,"16,000",150.86,0.72%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
Pidilite Industries Limited,INE318A01026,Chemicals & Petrochemicals,"4,500",137.45,0.66%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
Zaggle Prepaid Ocean Services Limited,INE07K301024,IT - Services,"29,960",123.7,0.59%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
Trent Limited,INE849A01020,Retailing,"1,800",111.92,0.54%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
Deepak Nitrite Limited,INE288B01029,Chemicals & Petrochemicals,"5,600",111.28,0.53%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
Bharat Heavy Electricals Limited,INE257A01026,Electrical Equipment,"40,000",106.52,0.51%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
Balrampur Chini Mills Limited,INE119A01028,Agricultural Food & other Products,"17,500",103.92,0.50%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
DLF Limited,INE271C01023,Realty,"12,000",100.54,0.48%,148982,BANK OF INDIA Large Cap Fund Regular Plan Growth
